"ID","フェーズ","ユーザー種別","ユーザーの目的","レビュー対象","開始地点","終了地点","私が行う操作","目視確認ポイント","確認する状態","画面サイズ","事前準備","想定時間","優先度","完了条件","ステータス"
"FLOW-011","1","コーチ","担当受講生の状況を確認する","受講生一覧","サイドバー「受講生一覧」","一覧を確認し終えた状態","1. /coach/students を開く
2. 「アラート」で絞り込む
3. 気になる受講生の行をクリックしてみる
4. 検索で1名に絞る","☐ アラートの意味が分かる
☐ 誰に声をかけるべきか判断できる
☐ 行がクリックできそうに見えるか／実際にできるか一致している
☐ この一覧で足りない情報が何か言える","通常／絞込／0件","PC 1440px","ログイン済み（既定で coach 権限あり）","15分","P2","4項目に判定を残している","確認可能"
"FLOW-012","1","管理者","コースをCSVで登録しようとする","管理・コース作成","サイドバー「管理」","登録手順を理解し終えた状態（実際の登録は成功しません）","1. /admin を開く
2. 「コース作成」の説明を読む
3. テンプレートCSVの入手方法を探す
4. リポジトリ同梱の moodle-course-upload-template.csv を選んでアップロードを試す
5. 表示される結果（エラー）を読む","☐ 何を準備すればよいか分かる
☐ CSVの形式が説明から分かる
☐ アップロード前に不安になる箇所がない
☐ エラー表示から次にすべきことが分かる","初期／アップロード失敗","PC 1440px","管理者権限（既定でON）。成功パスはモック未対応","30分","P2","エラー表示のスクリーンショットを保存し、4項目に判定を残している","準備不足"
"FLOW-013","1","コーチ（未ログイン）","録画連携を初回設定する","コーチ連携ページ","/admin/coach-integrations で発行したリンク","/connect/:token で連携完了 or 状態を確認した時点","1. /admin/coach-integrations を開き、招待リンクを発行できるか確認
2. 発行できたらそのURLを別のシークレットウィンドウで開く
3. 説明・同意事項を読む
4. 連携を実行する","☐ LMSを使わないコーチでも意味が分かる文章になっている
☐ 何が取得され、何が取得されないか分かる
☐ 未ログインでも不安にならない
☐ 完了したことが分かる","ready／connecting／done","PC 1440px","招待リンクの発行可否を先に確認（§7-①）","15分","P2","発行できた場合は4項目に判定、できない場合は「確認不可」と理由を記録している","準備不足"
"SCREEN-001","2","受講生","マイページの情報設計を検証する","/mypage","/mypage 表示直後","画面最下部まで見終えたところ","1. 上から下まで一度スクロールする
2. 各ブロック（プロフィール帯／続き／コーチング目標／ストリーク／次回予定／ロードマップ）に「これは何のためか」を1文で書く
3. サイドバーの通知ベルを押して中身を見る
4. 押せそうに見えるものを全部押してみる","☐ 画面の目的が一目で分かる
☐ 主アクション（続きからはじめる）が最も目立つ
☐ 各ブロックの役割を1文で言える
☐ 右レールと本文列の関係が分かる
☐ 押せそうに見えて押せない要素がない
☐ 情報量が多すぎると感じる箇所を特定できる
☐ 通知の入口に気づける","通常","PC 1440px","ログイン済み","30分","P0","ブロックごとの役割メモとスクリーンショット1枚を残し、7項目に判定を残している","確認可能"
"SCREEN-002","2","受講生","学習コンテンツ一覧の優先順位を検証する","/courses","/courses 表示直後","最下部まで見終えたところ","1. 上から最下部まで一度スクロールし、コース数を数える
2. カード1枚に載っている項目を全部書き出す
3. 「30分でできる基礎コース」を探してみる
4. 「このコースの残りレッスン」の行を1つ押す","☐ 上部（続き）と下部（探す）の役割の違いが分かる
☐ カードの情報項目が過不足ない
☐ 目的のコースを探す手段が見つかる
☐ 領域見出しの色帯と説明文が役に立っている
☐ 全30件を縦に並べる方式で下まで見る気になる
☐ 「全Nコース」「Nレッスン」の数字が実際と合っている","通常","PC 1440px","ログイン済み","30分","P1","カード項目の書き出しと6項目の判定を残している","確認可能"
"SCREEN-003","2","受講生","コーストップの構造理解を検証する","/course/203/curriculum","画面表示直後","全STEPを確認し終えたところ","1. コース進捗の数字と全体像を読む
2. STEPカードを全部開閉する
3. 各STEPの「はじめる／続きから／復習する」の出し分けを確認
4. パンくずを辿って戻る","☐ このコースが何を身につける場か分かる
☐ 全体の量（単元数・レッスン数・時間）が把握できる
☐ いまどこにいるか分かる
☐ STEPカードのボタン文言が状態と合っている
☐ レッスンの学習タイプ（基礎知識／実践課題など）が役に立っている
☐ パンくずで上位に戻れる","未着手／途中／完了の3コースで比較","PC 1440px","コース 102(未着手寄り)・203・201(完了) を順に開く","30分","P1","3コース分のスクリーンショットを保存し、6項目に判定を残している","確認可能"
"SCREEN-004","2","受講生","レッスン本文の読みやすさを検証する","/course/202?module=202012","レッスン本文の先頭","本文末尾まで読み終えたところ","1. 本文を実際に読む（斜め読みしない）
2. 見出し・本文・囲み・確認問題の区別を確認
3. 上部バーの情報（コース名・単元名・レッスン名・進捗）を読む
4. 別のレッスン（例 ?module=203021）と本文の密度を比べる","☐ いま何を学んでいるか常に分かる
☐ 本文の文字サイズ・行間・幅が読みやすい
☐ 見出しと本文の階層が視覚的に分かる
☐ 囲み・確認問題が本文と区別できる
☐ 本文の長さに対して現在位置が分かる
☐ レッスンによる密度差が気にならない","structured教材（手書き／テンプレ生成の2種）","PC 1440px","ログイン済み","45分","P0","2レッスン分のスクリーンショットを保存し、6項目に判定を残している","確認可能"
"SCREEN-005","2","受講生","学習ワークスペースの3ペイン構成を検証する","/course/202?module=202012","パネルすべて閉じた状態","4状態すべてを見終えたところ","1. 目次だけ開く／サポートだけ開く／両方開く／両方閉じるの4状態を作る
2. 各状態で本文の幅がどう変わるか観察
3. サポートパネルのAIタブとメモタブを切り替える
4. ページをリロードして開閉状態が復元されるか確認","☐ パネルの開閉ボタンが見つかる
☐ 4状態それぞれで本文が読める幅を保っている
☐ AIとメモの切替が分かる
☐ 開閉状態が保持されることに気づける／驚かない
☐ どの状態でも「完了」操作に到達できる","4状態","PC 1440px","ログイン済み","30分","P1","4状態のスクリーンショットを保存し、5項目に判定を残している","確認可能"
"SCREEN-006","2","受講生","集中ブースの初見の分かりやすさを検証する","/focus-booth","画面表示直後（未開始）","各カードの役割を書き終えたところ","1. 未開始状態のまま、各要素の役割を書き出す
2. 環境設定を開いて中身を見る
3. 教材選択モーダルを開いて閉じる
4. 右カラムの4カードの数字が何を指すか読み取る","☐ 開始前に決めることが分かる
☐ 通常タイマーとポモドーロの違いが分かる
☐ 「今回の目標」の書き方が分かる
☐ 右カラムの統計の意味が分かる
☐ カレンダーの色分けが理解できる
☐ 自習室タブ（集中ブース／学習記録／ノート）の関係が分かる","未開始","PC 1440px","タイマー未起動","30分","P1","要素ごとの役割メモと6項目の判定を残している","確認可能"
"SCREEN-007","2","受講生","学習記録の読み取りやすさを検証する","/study-log","画面表示直後","3期間すべて見終えたところ","1. 30日／3ヶ月／全期間を切り替える
2. グラフの縦軸・横軸・空白日を読む
3. 累計カードの数字と、集中ブースの数字を突き合わせる
4. 履歴リストを最下部までもっと見る","☐ グラフから学習の傾向が読み取れる
☐ 未学習日と10分未満の日の扱いが分かる
☐ 期間切替で何が変わったか分かる
☐ 累計値が集中ブースと一致している
☐ 教材別の内訳が役に立つ","3期間","PC 1440px","ログイン済み","30分","P2","3期間のスクリーンショットと数値照合の結果を残している","確認可能"
"SCREEN-008","2","受講生","ノート画面の絞り込みを検証する","/notes","ノートが3件以上ある状態","全フィルタを試し終えたところ","1. 種別タブを全部押す
2. キーワード検索を試す
3. コース／レッスンで絞り込む
4. 該当0件の状態を作る
5. 削除を1件実行する","☐ 3種類（メモ／クリップ／AI回答）の違いが分かる
☐ 件数バッジが役に立つ
☐ 絞り込みの組み合わせが理解できる
☐ 0件時の案内から次にすることが分かる
☐ 削除に確認がある／ないことに納得できる","通常／絞込0件","PC 1440px","FLOW-006 実施後","30分","P2","5項目に判定を残し、0件表示のスクリーンショットを保存している","確認可能"
"SCREEN-009","2","受講生","ロードマップ画面の情報量を検証する","/learning-plan","画面表示直後","最下部まで見終えたところ","1. 上から最下部まで読む
2. 「サマリー帯／全体ロードマップ／今月やること／見直し導線／ペース調整／前提」の各ブロックの役割を1文で書く
3. ステージレールと今月やることの関係を確認
4. 「コーチと確認済み」バッジの意味を読み取る","☐ 画面の目的が一目で分かる
☐ 「今月やること」が最も目立つべきか、実際に目立っているか判断できる
☐ フェーズとステージの関係が分かる
☐ 期限・見直し日・バージョンの意味が分かる
☐ AIの案とコーチ確認済みの区別が伝わる
☐ 情報量が多すぎると感じる箇所を特定できる
☐ 「初回設定をやり直す」の位置づけに驚かない","通常（更新案あり）","PC 1440px","リロード直後","45分","P1","ブロックごとの役割メモとスクリーンショットを残し、7項目に判定を残している","確認可能"
"SCREEN-010","2","受講生","コーチング一覧の分かりやすさを検証する","/coaching","画面表示直後（list状態）","過去記録を1件開いたところ","1. 次回コーチングカードを読む
2. 「次回までの目標」の達成状況を読む
3. これまでのコーチング一覧のバッジ（自動取得／確定済み／確認待ち）を読む
4. 過去記録を1件開く","☐ 次に自分がすべきことが分かる
☐ 目標の達成状況が読み取れる
☐ 履歴のバッジの意味が分かる
☐ 過去記録から何が得られるか分かる
☐ 「コーチは操作しない」前提が伝わる","list／review","PC 1440px","FLOW-009 実施後（履歴がある状態）","30分","P1","5項目に判定を残し、一覧のスクリーンショットを保存している","確認可能"
"SCREEN-011","2","受講生","AIコーチホームの入口設計を検証する","/ai-coach","ホーム状態","機能一覧を読み終えたところ","1. 大きな入力欄と機能一覧の関係を読む
2. 各AI機能の説明文を読み、使い分けが分かるか確認
3. おすすめの提示理由を読む
4. 「続きから」の直近相談を確認","☐ 最初に何をすればよいか分かる
☐ 機能の使い分けが説明文から分かる
☐ おすすめが「なぜ自分に出たか」分かる
☐ 機能を選ぶと別ページに飛ばないことに気づける
☐ 教材ページのAIと同じものか別ものか分かる","ホーム（履歴あり／なし）","PC 1440px","履歴なし状態は新しいタブで開くと作れる","30分","P2","履歴あり・なし両方のスクリーンショットを保存し、5項目に判定を残している","確認可能"
"SCREEN-012","2","未ログイン","ログイン画面の分かりやすさを検証する","/login","/login 表示直後","エラー表示まで見たところ","1. 何も入力せず送信してみる
2. でたらめな値で送信してエラー文言を読む（モックでは成功するため、成功時の遷移も観察）
3. パスワード表示切替を使う
4. 「パスワードをお忘れですか」を押して戻る","☐ 何を入力する画面か一目で分かる
☐ 入力欄のラベルと形式が分かる
☐ エラー文言から次にすべきことが分かる
☐ パスワードリセットの入口に気づける
☐ ブランドとして違和感がない","通常／エラー／送信中","PC 1440px ＋ SP 375px","未ログイン状態","15分","P1","PC・SP両方のスクリーンショットを保存し、5項目に判定を残している","確認可能"
"SCREEN-013","2","受講生","プロフィール・アカウント設定の分かりやすさを検証する","/profile → /account-settings","/profile","/account-settings を見終えたところ","1. /profile を直接開き、入力欄の意味を読む
2. ニックネームを変えて保存し、ヘッダー表示に反映されるか確認
3. /account-settings を開き、パスワード要件表示を確認（変更操作は実行しない／実行しても成功しません）
4. 戻る操作を試す","☐ 2画面の役割の違いが分かる
☐ 入力項目が何に使われるか分かる
☐ 保存結果が伝わる
☐ パスワード要件が入力中に分かる
☐ 元の画面に戻れる","編集／保存成功","PC 1440px","ログイン済み","30分","P2","保存前後のスクリーンショットを保存し、5項目に判定を残している","確認可能"
"SCREEN-014","2","管理者","管理画面の使い勝手を検証する","/admin/*","/admin","全メニューを一巡したところ","1. 左メニューの11項目を順に開く
2. 各画面が何をする場所か1文で書く
3. どこにも進めない／エラーになる画面を記録する","☐ メニュー名から中身が推測できる
☐ 各画面の目的が分かる
☐ 実行前に必要な準備が分かる
☐ エラー時に次にすることが分かる","初期／エラー","PC 1440px","管理者権限（既定）。多くの画面はモック未対応","30分","P3","11画面それぞれに「役割メモ」と「動作したか」を記録している","準備不足"
"SCREEN-015","2","コーチ","受講生一覧の情報設計を検証する","/coach/students","画面表示直後","一覧を見終えたところ","1. 列項目を書き出す
2. アラート表示の受講生を特定する
3. 検索・フィルタを一通り試す","☐ 一覧の目的が分かる
☐ 優先して見るべき行が分かる
☐ フィルタ名から対象が分かる
☐ 足りない情報を言える","通常／絞込／0件","PC 1440px","ログイン済み","15分","P3","4項目に判定を残している","確認可能"
"SCREEN-016","2","受講生","学習領域詳細の位置づけを検証する","/courses/category/1","画面表示直後","見終えたところ","1. /courses のパンくず or コーストップのパンくずから到達する
2. /courses の同じ領域セクションと見比べる
3. どちらを使うべきか判断してみる","☐ この画面と /courses の違いが分かる
☐ 到達手段が分かる
☐ カード表現が /courses と揃っている
☐ 迷子にならない","通常","PC 1440px","ログイン済み","15分","P3","2画面の比較スクリーンショットを保存し、4項目に判定を残している","確認可能"
"STATE-001","3","未ログイン／受講生","権限のない場所に入ろうとしたときの案内を検証する","ルーティング全般","未ログイン状態","一連のURLを試し終えたところ","1. localStorage を削除して未ログインにする
2. /mypage, /course/203/curriculum, /admin, /coach/students, /notes を直接開く
3. ログインし直して /admin を開く
4. MOCK_GROUPS を [] にして（環境準備）再度 /admin を開く","☐ 未ログインで弾かれたことが分かる
☐ 弾かれた後どこにいるか分かる
☐ 元々行きたかった場所に戻れるか／戻れないか把握できる
☐ 権限不足のとき理由が伝わる
☐ 存在しないURL（例 /zzz）の挙動が理解できる","未ログイン／権限なし／不明URL","PC 1440px","localStorage 操作。MOCK_GROUPS 変更は作業前後に実施","30分","P1","5パターンそれぞれの着地先とスクリーンショットを記録している","確認可能"
"STATE-002","3","受講生","ロードマップが無い状態の案内を検証する","/learning-plan","「初回設定をやり直す」直後","未作成状態を確認したところ","1. /learning-plan で「初回設定をやり直す」を押す
2. /learning-plan/setup に飛ばされたら、URLで /learning-plan に直接戻る
3. 未作成状態の案内を読む
4. マイページのロードマップ帯がどうなるか確認","☐ 何が無いのか分かる
☐ 次にすべきことが1つに決まる
☐ 所要時間の見込みが立つ
☐ マイページ側の表示も破綻していない","未作成","PC 1440px","この操作で既存の計画が消えます（リロードで再シードされます）","15分","P1","未作成表示のスクリーンショット2枚（ロードマップ・マイページ）を保存している","確認可能"
"STATE-003","3","受講生","ノートの件数による見え方の差を検証する","/notes","ノート0件","10件以上の状態を見たところ","1. localStorage の notes 相当キーを削除して0件にする
2. 0件表示を確認
3. レッスンでクリップ・保存を繰り返して10件以上作る
4. 一覧のスクロール・カードの高さのばらつきを見る","☐ 0件時に次の行動が示されている
☐ 1件だけのときレイアウトが崩れない
☐ 10件以上でも探せる
☐ カードの高さのばらつきが読みにくさになっていない
☐ 長いAI回答が省略されるか／全文出るか分かる","0件／1件／多数","PC 1440px","localStorage 操作","30分","P2","0件・1件・多数の3枚のスクリーンショットを保存している","確認可能"
"STATE-004","3","受講生","検索結果が0件のときの案内を検証する","/courses, /notes","各画面の検索欄","両方で0件を確認したところ","1. /courses で「zzzz」と検索
2. 0件表示を読む
3. /notes でも同様に0件にする
4. 2画面の0件表示を見比べる","☐ 0件だと明確に分かる
☐ 次にすべきことが示されている
☐ 検索条件を消す方法が分かる
☐ 2画面で表現が揃っている","検索0件","PC 1440px","ログイン済み","15分","P2","2画面の0件表示スクリーンショットを保存している","確認可能"
"STATE-005","3","受講生","学習の進み具合による表示差を検証する","コーストップ／一覧","/course/102/curriculum","3コース比較し終えたところ","1. 未着手寄りのコース 102、途中の 203、完了の 201 を順に開く
2. 進捗率・ボタン文言・チェック表示の差を記録
3. /courses のカードでも同じ3コースの見え方を比較","☐ 3状態が視覚的に区別できる
☐ ボタン文言（はじめる／続きから／復習する）が状態と一致
☐ 完了コースでも次にすることが分かる
☐ 一覧カードとコーストップで状態表現が揃っている
☐ 100%完了時の達成感がある","未受講／受講中／完了","PC 1440px","ログイン済み","30分","P1","3コース×2画面のスクリーンショットを保存し、5項目に判定を残している","確認可能"
"STATE-006","3","受講生","ローディング表示を検証する","主要5画面","DevTools で Slow 3G を設定","5画面のローディングを見終えたところ","1. DevTools → Network → Slow 3G
2. /mypage, /courses, /course/203/curriculum, /course/202?module=202012, /study-log を順にリロード
3. 各画面のローディング表示を観察","☐ 読み込み中だと分かる
☐ 待たされている感じが強すぎない
☐ 画面ごとにローディング表現が揃っている
☐ 読み込み完了時に内容が飛び跳ねない
☐ 部分的に出る／全体が出るの違いに納得できる","ローディング","PC 1440px","DevTools スロットリング。終了後に解除する","30分","P2","5画面のローディングのスクリーンショットを保存している","確認可能"
"STATE-007","3","受講生","エラー表示を検証する","主要画面","DevTools で Offline","エラーを4パターン見終えたところ","1. /course/9999/curriculum を開く（存在しないコース）
2. DevTools → Network → Offline にして /mypage をリロード
3. 同様に /study-log をリロード
4. /badges を開く（🧾 環境変数未設定のため必ずエラー）","☐ 何が起きたか分かる
☐ 自分のせいか、システム側かが分かる
☐ 次にすべきことが示されている
☐ 再試行の手段がある
☐ 画面ごとにエラー表現が揃っている","エラー4種","PC 1440px","DevTools Offline。終了後に解除する","30分","P2","4パターンのスクリーンショットを保存し、5項目に判定を残している","確認可能"
"STATE-008","3","受講生","長いテキストの扱いを検証する","一覧・カード全般","/courses","観点を記録し終えたところ","1. 最も長いコース名・説明文を持つカードを探す
2. 折り返し・省略（…）の有無を記録
3. コーストップ・ノート・コーチング履歴でも同様に探す","☐ 現状の最長テキストで崩れがない
☐ 省略される箇所と全文表示の箇所の使い分けが分かる
☐ 省略された内容を知る手段がある","通常（🔺 極端な長文は現状確認不可）","PC 1440px","ログイン済み","15分","P3","最長テキストのスクリーンショットを保存し、「極端な長文は確認不可」と明記している","確認可能"
"STATE-009","3","受講生","コーチングの自動取得できない場合を検証する","/coaching","list状態","手動取り込みを終えたところ","1. /coaching で会議リンクを登録せずに「参加する」を試す
2. 自動取得できない理由の表示を探す
3. 手動取り込み画面でテキストを貼り付けて送信
4. その後の流れを確認","☐ なぜ自動取得できないか分かる
☐ 代わりに何をすればよいか分かる
☐ 手動取り込みの入力方法が分かる
☐ 手動でも同じ結果が得られると分かる
☐ 嘘の「生成中」が出ていない","自動取得不可／手動取り込み","PC 1440px","ページをリロードして初期状態から","30分","P2","手動取り込みまで1回通し、5項目に判定を残している","確認可能"
"STATE-010","3","受講生","タイマーの全状態を検証する","/focus-booth","未開始","全状態を見終えたところ","1. 未開始の表示を記録
2. 通常タイマーで開始 → 計測中を記録
3. 一時停止 → 再開
4. 終了 → 終了カードを記録
5. ポモドーロで目標1分（可能な最小値）を設定して開始し、目標到達時の表示を見る
6. 開始したままタブを閉じて開き直し、放置復帰（stale）表示を確認","☐ 5状態が視覚的に区別できる
☐ 計測中に他画面へ移動しても状態が分かる（常駐タイマー）
☐ 目標到達が伝わる
☐ 放置復帰時に何を選べばよいか分かる
☐ 誤って記録を捨てる操作になっていない
☐ 終了カードの入力が任意か必須か分かる","未開始／計測中／一時停止／目標到達／放置復帰","PC 1440px","10分程度の連続作業時間","45分","P1","5状態のスクリーンショットを保存し、6項目に判定を残している","確認可能"
"STATE-011","3","受講生","操作成功・失敗のフィードバックを検証する","複数画面","/learning-plan","成功・失敗を各3回見たところ","1. ロードマップで保存操作 → トーストを確認
2. ノートでクリップ → トーストを確認
3. コーチングで目標確定 → トーストを確認
4. DevTools を Offline にして同じ操作を試し、失敗時の表示を確認","☐ 成功したと分かる
☐ 失敗したと分かる
☐ 成功と失敗が見分けられる
☐ トーストの表示位置・表示時間が適切
☐ 失敗時に再試行できる","成功／失敗","PC 1440px","DevTools Offline。終了後に解除","15分","P2","成功・失敗各1枚のスクリーンショットを保存している","確認可能"
