"指摘ID","分類","記入者","レビュータスクID","ユーザー種別","ユーザーの目的","画面","幅","操作","期待したこと","実際に起きたこと","迷い・違和感","ユーザーへの影響","重大度","改善案","スクリーンショット","備考"
"CL-A11","A","Claude","CONSISTENCY-007","受講生","スマホで設定を変える・ログアウトする","全画面","390","下部ナビを見る","設定への入口がある","下部ナビはナビ5項目のみ。設定・プロフィール・ヘルプ・ログアウトは hidden sm:flex のパネルにしか無い","入口が無いのでURL直打ちを試す","スマホから設定・ヘルプ・ログアウトに行けない","高","下部ナビに「その他」を1枠追加してシートで出す","","AppHeader.tsx:894-914 / 503-616"
"CL-A12","A","Claude","DEVICE-006","受講生","スマホでナビを押す","全画面","390","下部ナビのラベルを読む","ラベルが読める","text-[10px] + truncate。管理者は6枠で1枠62.5px","文字が小さく隣を押しそうになる","ナビが読みにくく押し間違える","中","ラベル11px、枠は5つ固定（管理は「その他」へ）","","AppHeader.tsx:899-912。コード内コメントも「詰まる」と認めている"
"CL-A13","A","Claude","CONSISTENCY-007","受講生","プロフィールを開く","全画面","1920","左下のアイコンにホバーしてメニューへマウスを動かす","メニューが開いたままになる","ポップオーバーは ml-2.5（10px）離れており、隙間を通る途中で onMouseLeave が発火して閉じる","何度もやり直す","アカウントメニューを選べないことがある","中","閉じるを150ms遅延させる、または隙間を透明ブリッジで埋める","","AppHeader.tsx:352,475-497"
"CL-A14","A","Claude","CONSISTENCY-004","受講生","同じ場所へ行く","全画面","全幅","各画面のボタン名を読み比べる","同じ行き先は同じ名前","コース目次へ=4種、/study-logへ=3リンク2種（同一画面）、学習再開=5種、設定=2種","毎回どれが何か考え直す","押す場所の学習が積み上がらない","中","frontend/docs/ui-rules.md に用語表を確定させて置換","","StudyChallengeCard.tsx:400 / MaterialsTopPage.tsx:345,352,386 / StreakHeroCard.tsx:123 / StudyRecordCard.tsx:192 / PeerRankingCard.tsx:207 / CourseTopPage.tsx:375,581"
"CL-A15","A","Claude","CONSISTENCY-006","受講生","画面を移動する","全画面","全幅","各画面の最下部を見る","同じフッター","地色小文字／#2B2440の黒帯／#2B2629の黒帯／(C) 2026 WEBCOACH Inc. の4種","別サイトに移った感じがする","同一プロダクトに見えない","中","地色 + 「2026 (C) WEBCOACH」の1種に統一","","MyPage.tsx:168 / CourseTopPage.tsx:594 / HelpPage.tsx:302 / MyNotesPage.tsx:484 / CoachingNotesPage.tsx:488"
"CL-A16","A","Claude","CONSISTENCY-006","受講生","画面を移動する","全画面","1920","各画面の本文幅を見比べる","同じ幅で始まる","1600/1140/1080→860/980/900/1440/1040px の7種。コーチングはモード遷移で幅が跳ねる","本文の始まる位置が毎回変わる","視線の置き場が定まらない","中","2種（一覧系1440／読み物系1040）に寄せる。コーチングはモードで幅を変えない","","index.css:197 / CourseTopPage.tsx:248 / CoachingNotesPage.tsx:384 / HelpPage.tsx:225 / MyNotesPage.tsx:213"
"CL-A17","A","Claude","CONSISTENCY-005","受講生","モーダルを閉じる","全画面","全幅","Esc を押す／背景をクリックする","どのモーダルでも同じように閉じる","打診と学習終了カードは Esc が効かない。背景クリックは閉じる/閉じないが混在。フォーカストラップとスクロール固定がどこにも無い","閉じ方を毎回探す","閉じられずに詰まることがある","中","共通 Modal を1つ作って Esc・トラップ・スクロール固定を揃える","","StudySessionPrompt.tsx:53 / FinishSessionModal.tsx:142 / ExplainPopover.tsx:24。README §8 の不在部品"
"CL-A18","A","Claude","CONSISTENCY-006","受講生","アイコンを見る","全画面","全幅","各画面のアイコンを見比べる","同じ体系のアイコン","lucide の中に絵文字（虫めがね・炎）とテキスト記号（‹ › ↑ ↓ ✓ ・ ›）が混在","OSによって絵が変わり別物に見える","作りが荒く見える","中","lucide に統一（Search/Flame/ChevronLeft/ArrowUp/Check/ChevronRight）","","MaterialsTopPage.tsx:531 / FinishSessionModal.tsx:518 / StudyRecordPanel.tsx:357,381,411 / AccountSettingsPage.tsx:465 / CourseTopPage.tsx:375"
"CL-A19","A","Claude","CONSISTENCY-006","受講生","グラフで今日を見つける","/mypage, /study-log","全幅","今日の棒とラベルを探す","今日だけ太字で目立つ","Inter を600;700;800 しか読み込んでいないため fontWeight:400 が600で描かれ、700の今日との差がほぼ出ない","どれが今日か分からない","強調のつもりの太字が効いていない","中","Inter に400を追加する（または400をやめて500/700の2段に整理）","","public/index.html:9 / index.css:189 / StudyRecordCard.tsx:275,289"
"CL-A20","A","Claude","STATE-006","受講生","初日にマイページを見る","/mypage","全幅","ランキングとチャレンジのカードを見る","データが無いなら「まだありません」と出る","loading と empty を区別していないため、空のときも永久に「読み込んでいます…」","いつまでも待つ／壊れていると思う","初日の受講生に終わらない読み込みが見える","中","EmptyState を作り loading と empty を分ける","","StudyChallengeCard.tsx:136 / PeerRankingCard.tsx:249"
"CL-A21","A","Claude","DEVICE-001","受講生","スマホでフォームに入力する","全画面","390","入力欄をタップする","画面が動かない","font-size<16px の欄で iOS Safari が自動ズームする（ログイン15px・AI検索13px・時間修正15px・ノート検索14px）","1文字ごとに画面が寄り、手で戻す","スマホでの入力が毎回煩わしい","中","SPのみ入力欄を16pxにする（見た目調整はpaddingで行う）","","LoginPage.tsx:46 / MaterialsTopPage.tsx:417 / FinishSessionModal.tsx:252 / MyNotesPage.tsx:308"
"CL-B01","B","Claude","SCREEN-012","未ログイン","パスワードを再設定する","/login","全幅","Tab を送って「パスワードお忘れですか？」へ行こうとする","フォーカスが当たって Enter で開く","span onClick なのでフォーカスも Enter も効かない","押せないので諦める","キーボードのみの人はパスワードを再設定できない","高","button か Link にする","","LoginPage.tsx:355-361"
"CL-B02","B","Claude","SCREEN-012","未ログイン","入力したパスワードを目で確認する","/login","全幅","Tab で目のアイコンへ行こうとする","トグルできる","tabIndex=-1 で到達できず、aria-label も無い","打ち間違いを確認できない","キーボードのみの人が入力を確認できない","高","tabIndex を外し aria-label を付ける（AccountSettingsPage.tsx:420 の実装を流用）","","LoginPage.tsx:264,291,376"
"CL-B03","B","Claude","SCREEN-012","未ログイン","スマホでログインする","/login","390","メールアドレス欄をタップする","@ のあるキーボードが出る","type=text なので通常キーボードが出る","記号を探す手間が増える","スマホでのログインが遅くなる","中","type=email inputMode=email","","LoginPage.tsx:337-346"
"CL-B04","B","Claude","STATE-007","未ログイン","ログインに失敗した理由を知る","/login","全幅","誤ったパスワードで送信する","失敗が知らされる","エラーは描かれるが role=alert が無く、フォーカスも移らない","押した結果が分からない","読み上げ環境で失敗に気づけない","中","role=alert を付ける（同アプリの role=status と作りを揃える）","","LoginPage.tsx:387-391"
"CL-B05","B","Claude","SCREEN-012","未ログイン","初回ログインでパスワードを決める","/login","全幅","新しいパスワードを打ち始める","要件が見えている","要件はプレースホルダだけなので入力開始で消える。文字種の検証は送信後にサーバから返る","何が足りないのか打ちながら分からない","やり直しが増える","低","AccountSettingsPage の passwordRules（常時チェックリスト）を流用する","","LoginPage.tsx:110,261 / AccountSettingsPage.tsx:54-60,456-469"
"CL-B06","B","Claude","SCREEN-001","受講生","初回ログインで今日やることを知る","/mypage","全幅","ストリークカードを読む","何をすればよいか分かる","「0日連続」「ベスト 0日」「あと0日で自己ベスト」の3つの0が並ぶ","「あと0日」の意味が通らない","初日の主役カードが意味不明で、次の行動も示されない","高","current===0 のときは「今日はじめると1日目です」に差し替える","","StreakHeroCard.tsx:65-68,144-154。remain=Math.max(0,best-current)"
"CL-B07","B","Claude","SCREEN-001","受講生","自己ベストの更新を確認する","/mypage","全幅","ストリークカードを読む","更新したときだけ祝われる","isNewBest が current>=bestDays なのでタイに並んだだけで「自己ベスト更新中！」","更新していないのに祝われる","祝いの価値が下がる","中","> に変え、タイのときは「自己ベストに並びました」と別文にする","","StreakHeroCard.tsx:67"
"CL-B08","B","Claude","SCREEN-001","受講生","順位の差を知る","/mypage","全幅","学習時間チャレンジの見出しを読む","差が無いなら同着と分かる","gap=Math.max(1,...) なので同着でも「あと1分で3位！」","差が無いのに追わされる","数字を信用しなくなる","中","0分差のときは「同着です。あと1分で順位が上がります」と書く","","StudyChallengeCard.tsx:97"
"CL-B09","B","Claude","CONSISTENCY-004","受講生","順位の差を知る","/mypage","全幅","見出しと下のピルを見比べる","同じ書き方","見出しは生の分（あと125分）、ピルは時間分（あと2時間5分）","同じ差なのに別の数に見える","一瞬計算し直す","中","見出しも formatMinutesHM に通す","","StudyChallengeCard.tsx:164,317"
"CL-B10","B","Claude","SCREEN-001","受講生","今週の学習時間を見る","/mypage","全幅","学習記録カードを上から読む","1回だけ出てくる","KPIタイルとグラフ見出しの両方が「今週の学習時間」","同じ言葉が縦に2つ","何が違うのか探してしまう","中","グラフ側を「曜日ごとの内訳」にする","","StudyRecordCard.tsx:198,207"
"CL-B11","B","Claude","CONSISTENCY-004","受講生","修了レッスン数を確認する","/mypage, /courses","全幅","2画面の数字を見比べる","同じ数え方","マイページは分母なしの推定値、/courses は「12/40」の分母付き","どちらが本当か分からない","進捗の数字を信用できない","中","どちらかの形に統一する。推定のままなら「（目安）」を添える","","StudyRecordCard.tsx:21,200 / MaterialsTopPage.tsx:185,261"
"CL-B12","B","Claude","SCREEN-001","受講生","今週サボった曜日を確認する","/mypage","全幅","棒グラフを読む","0分の日とまだ来ていない日が区別できる","0分=14px/#EAE4DA、未来=8px/#F2EDE5 で差は6pxと淡い色差だけ","木曜が0分なのか土曜が未来なのか読めない","週の振り返りができない","中","未来日は塗りをやめて破線の枠だけにする（形で区別する）","","StudyRecordCard.tsx:29-31,245-252"
"CL-B13","B","Claude","DEVICE-001","受講生","各曜日の学習時間を知る","/mypage","390","棒をタップする","数値が出る","値は title 属性だけなのでタッチでは出ない。キーボードでも読めない","数値を読む方法が無い","スマホでグラフの数値が読めない","中","値ラベルを常時表示にするか、aria-label + 折りたたみの表を添える","","StudyRecordCard.tsx:257"
"CL-B14","B","Claude","CONSISTENCY-004","受講生","学習記録の詳細を見る","/mypage","全幅","3つのリンクを見比べる","違うものが見られる","「詳しく見る」×2 と「もっと見る」×1 がすべて /study-log","押す前に別物だと思う","同じ場所に3回連れて行かれる","中","用語を1つに寄せ、カードごとに遷移先セクションのアンカーを分ける","","StreakHeroCard.tsx:106 / StudyRecordCard.tsx:175 / PeerRankingCard.tsx:189"
"CL-B15","B","Claude","SCREEN-001","受講生","ランキングを期間で切り替える","/mypage","全幅","ストリークで「累計」を選び、学習時間タブへ戻る","選んだ期間が保たれる","期間は種別ごとに別stateなので黙って「週間」に戻る。書式も「集計期間：X」と「Xの学習日数」で違う","いま何の期間を見ているか分からなくなる","数字の意味を取り違える","中","期間ラベルを選択ピルの隣に常時出し、書式を1つに揃える","","PeerRankingCard.tsx:87-88,259"
"CL-B16","B","Claude","","受講生","キーボードでタブを切り替える","/mypage, /study-log","全幅","矢印キーを押す","タブが移動する","role=tablist だが aria-controls も tabpanel も矢印操作も無い","タブと言われたのにタブとして動かない","読み上げ・キーボードで挙動が読めない","低","aria-pressed のトグルボタン群にする","","PeerRankingCard.tsx:37,213 / StudyRecordPanel.tsx:82,312"
"CL-B17","B","Claude","SCREEN-001","受講生","夜に開く／開いたまま日付が変わる","/mypage","全幅","23時に開く／翌朝そのまま見る","時刻に合った挨拶と正しい日付","常に「こんにちは」。日付は描画時の1回だけなので前日のまま残る","日付が合っていない","表示日付を信用できない","低","時刻帯で挨拶を変える。可視化タブ復帰時に日付を再計算する","","MypageGreeting.tsx:28,40 / StudyRecordCard.tsx:107-131"
"CL-B18","B","Claude","SCREEN-002","受講生","スマホでコースを探す","/courses","390","画面をスクロールする","縦に読める","0.45倍で描かれ横スクロールが出る。ヒーローのボタン文字が実効6px台、4列タイルがはみ出す","読むのに拡大が必要","スマホでコース選びができない","高","CL-A01 と同じ（scale方式の廃止）","","CL-A01 と同一原因。DEVICE-001/004 でも再現"
"CL-B19","B","Claude","CONSISTENCY-004","受講生","学習を再開する","/courses","全幅","ヒーローカードを読む","押すものが1つだと分かる","アイブロウのラベルとボタンがどちらも「続きから学ぶ」","どちらが押せるのか一瞬迷う","視線が往復する","中","アイブロウを「学習中のコース」にする","","MaterialsTopPage.tsx:288,345"
"CL-B20","B","Claude","CONSISTENCY-001","受講生","教材をAIで探す","/courses","全幅","何も入力せずに「教材をさがす」を押す","押せないことが見て分かる","未入力時もグレーの塗りボタンで、押しても無反応（cursor:default）","壊れているのかと思う","押せないボタンを押しに行く","中","枠+薄字の disabled 表現にし cursor:not-allowed にする","","MaterialsTopPage.tsx:419-426"
"CL-B21","B","Claude","STATE-008","受講生","教材をAIで探す","/courses","1520","検索欄を見る","何を入れる欄か分かる","プレースホルダが長文で右パディング118pxのため途中で切れる","何を入れる欄か分からない","検索を使い始められない","中","プレースホルダを「例：配色が苦手」に短縮し、説明は左見出しに任せる","","MaterialsTopPage.tsx:415-417"
"CL-B22","B","Claude","STATE-004","受講生","条件を絞ってコースを探す","/courses","全幅","0件になる条件で絞る","空状態の案内が出る","絵文字の虫めがねが使われている","端末によって絵が変わる","作りが荒く見える","低","lucide の Search に置き換える","","MaterialsTopPage.tsx:531。CL-A18 と同件"
"CL-B23","B","Claude","STATE-008","受講生","並行して学習中のコースを見る","/courses","1920","「ほかに学習中」を見る","件数に応じて詰まる","repeat(3,1fr) 固定なので2件のとき右に穴が空く","レイアウトが崩れているように見える","見た目の完成度が下がる","低","repeat(auto-fill, minmax(260px,1fr)) にする","","MaterialsTopPage.tsx:363"
"CL-B24","B","Claude","SCREEN-003","受講生","学習中のコースで次のレッスンを探す","/course/:id/curriculum","全幅","コースを開く","進捗と「いまここ」が最初から正しい","完了状態をレッスン1件ずつ取るN+1のため、確定まで0%・全行未着手・いまここがチャプター1・ボタンが「学習をはじめる」で描かれ、その後まとめて跳ねる","一瞬「進捗が消えた」と思う","毎回誤った状態を見せられ、リクエストも30本発生する","高","完了一覧をまとめて取るAPIをMSWに足す。それまでは取得中スケルトンにする","","CourseTopPage.tsx:186-198,222-229 / MaterialsTopPage.tsx:126-152 に同型"
"CL-B25","B","Claude","SCREEN-003","受講生","キーボードでレッスンを開く","/course/:id/curriculum","全幅","Tab でレッスン行へ行こうとする","行が選べる","行は onClick 付きの div で role も tabIndex も無い。/courses の同種カードは role=button tabIndex=0 になっており作りが違う","行が選べず右端のボタンだけ辿る","キーボード操作が画面ごとに変わる","中","MaterialsTopPage.tsx:366-372 の書き方に合わせる","","CourseTopPage.tsx:494-497"
"CL-B26","B","Claude","CONSISTENCY-003","受講生","カリキュラムを読む","/course/:id/curriculum","全幅","レッスン行を上から読む","状態が1つの表現で分かる","1行に「破線の丸」「未着手ピル」「はじめるボタン」の3つが同じことを言う。上に凡例もあるので4重","どれを見ればよいか分からない","30行あると視覚的なノイズが90個","中","ピルを落として「丸+ボタン」にする（凡例が丸の意味を担う）","","CourseTopPage.tsx:516,558-560,567-582"
"CL-B27","B","Claude","SCREEN-003","受講生","進捗を確認する","/course/:id/curriculum","全幅","ヘッダー右を見る","1つの表現で足りる","「全40レッスン中12レッスン完了」+バー+「30%」の3表現が横一列","同じ数を3回読む","情報密度が無駄に高い","中","バー + 「12 / 40（30%）」の2表現に落とす","","CourseTopPage.tsx:290-309"
"CL-B28","B","Claude","DEVICE-005","受講生","マイページからコーストップへ移動する","/course/:id/curriculum","1920","移動して本文を読む","字の大きさが変わらない","行タイトル15px・h1 32px の px 直書きで、マイページの clamp（本文最大13px）と系統が違う","急に字が大きくなる","移動のたびに読む姿勢が変わる","中","CL-A06 の下限引き上げと合わせて系統を揃える","","CourseTopPage.tsx:270,525"
"CL-B29","B","Claude","CONSISTENCY-006","受講生","画面を移動する","/course/:id/curriculum","全幅","最下部を見る","他画面と同じフッター","この画面だけ #2B2440 の黒帯","別サイトに見える","同一プロダクト感が落ちる","低","CL-A15 で統一する","","CourseTopPage.tsx:594-596（bg-brand-footer）"
"CL-B30","B","Claude","SCREEN-005","受講生","読んでいる途中で前のレッスンを確認する","/course/:id","全幅","7本目を読みながら3本目へ行こうとする","一覧から選んで跳べる","目次が無く、移動手段は「コースに戻る」と本文末尾の前/次だけ。トップバーの「レッスン 5 / 9」は押せない","一度コーストップへ出るしかないと気づくまで探す","任意のレッスンへ跳べず毎回2手かかる","高","「レッスン 5 / 9」を押せるようにして一覧だけのポップオーバーを出す（常設パネルには戻さない）","","LearningWorkspacePage.tsx:31-45 / LessonTopBar.tsx:5-19,128-150"
"CL-B31","B","Claude","CONSISTENCY-002","受講生","進捗を確認する","/course/:id","全幅","レッスンとコーストップのバーを見比べる","同じ数字を指す","レッスンは位置（5/9=55%）、コーストップは完了率（2/9=22%）。同じコースで別の値","どちらが本当の進捗か分からない","進捗の数字を信用できない","高","レッスン画面はバーをやめて「5本目 / 全9本」の文字にする。バーは完了率専用にする","","LessonTopBar.tsx:41-43 / CourseTopPage.tsx:222"
"CL-B32","B","Claude","SCREEN-004","受講生","分からない文の解説を読む","/course/:id","全幅","文をなぞって「解説」を押す","解説が全部読める","top が高さ230px固定の前提で max-height も overflow も無い。長文はビューポートを突き抜け、この画面は body overflow:hidden なので読む手段が無い","下が切れていて操作しようがない","長い解説が読めない","高","max-height:min(60vh,...) + overflow-y:auto、本文13px、下に入らないときは上へ開く","","ExplainPopover.tsx:21-22,60 / index.css:356-358"
"CL-B33","B","Claude","CONSISTENCY-004","受講生","次のレッスンを覗く","/course/:id","全幅","「内容をプレビュー」を押す","覗くだけで戻れる","処理は完了時の「次のレッスンへ」と同じで、完全に遷移する","覗くつもりが移動していた","読んでいたレッスンから出てしまう","中","「次のレッスンを見る」にする","","LessonArticle.tsx:188-197"
"CL-B34","B","Claude","SCREEN-004","受講生","レッスンを何本も読む","/course/:id","全幅","2本目・3本目を開く","一度覚えた操作説明は消える","「分からない文章はドラッグで選択すると…」の帯が全レッスンの冒頭に毎回出て、閉じられない","毎回同じ説明を読み飛ばす","25レッスンで25回、本文の前に案内が挟まる","中","localStorage で閉じられるようにする（または初回3レッスンのみ）。SPは「長押しで選択すると」に変える","","LessonArticle.tsx:355-374"
"CL-B35","B","Claude","SCREEN-005","受講生","AIに質問しかけて本文を見返す","/course/:id","全幅","質問を打っている途中で Esc か × を押す","戻すと入力が残っている","パネルは条件レンダリングでアンマウントされるため入力途中の質問文が消える。メモの下書きは自動保存されるので同画面で挙動が2種類","打ち直しになる","質問を書き直す手間が発生する","中","入力中の文字列を LearningWorkspacePage 側に持つ","","LearningWorkspacePage.tsx:539-567,392-402"
"CL-B36","B","Claude","CONSISTENCY-002","受講生","レッスンからマイノートへ行く","/course/:id","全幅","画面上部を探す","ナビがある","AppHeader を描かないためサイドバーも下部ナビも無い。WEBCOACH ワードマークは押せず900px未満で消える","出口が「コースに戻る」しか見えない","他の柱へ行くのに毎回2手かかる","中","ワードマークを /mypage へのリンクにする","","LessonTopBar.tsx:56-61 / index.css:478-484"
"CL-B37","B","Claude","STATE-007","受講生","移行教材の文をなぞる","/course/:id","全幅","iframe教材の本文をなぞる","解説やクリップが出る","source が structured でないと選択操作が無効で、案内も出ない","壊れていると思う","移行教材では機能が無いことが伝わらない","中","フォールバック教材では「この教材は文章の選択に対応していません。右下からAIに質問できます」を1行出す","","LearningWorkspacePage.tsx:121-122,552 / LessonArticle.tsx:355"
"CL-B38","B","Claude","DEVICE-002","受講生","スマホで現在地を確認する","/course/:id","390","トップバーを見る","何本目か分かる","900px以下でバーが aria-hidden の3px帯になり、600px以下では「レッスン」の語が消えて「5 / 9」だけ残る","何の5/9か分からない","現在地が読めない","低","狭い画面では「5/9本目」と単位を残す","","index.css:478-489 / LessonTopBar.tsx:130-133,159-169"
"CL-B39","B","Claude","STATE-010","受講生","レッスンを30分読む","全画面","全幅","マウスホイールだけでスクロールして読み続ける","30分が学習時間として残る","放置検知が見るのは pointerdown/keydown/visibilitychange だけ。スクロールは観測されないため「学習を続けていますか？」が割り込み、trimToLastActive で読んでいた時間が切られる","ちゃんと読んでいたのに離席扱いされる","実際の学習時間が記録から削られる","高","bump の購読に wheel/scroll/touchmove/mousemove を追加する（既に10秒スロットル済み）","","StudySessionHost.tsx:119-136,140-147"
"CL-B40","B","Claude","STATE-010","受講生","夜になってから記録を始める","全画面","全幅","記録を始める入口を探す","どこかに開始のボタンがある","PROMPT_DECLINE_LIMIT=3 に達すると打診が出ず、常設の開始ピルは撤去済みなので入口が無い","記録したいのに始められない","その日はもう学習時間を記録できない","高","/study-log の中に「いまから記録を始める」を1つ置く（常設ピルは戻さない）","","StudySessionHost.tsx:37-58,172,260 / StudySessionIndicator.tsx:186-193"
"CL-B41","B","Claude","STATE-010","受講生","コースの一覧を眺めに来る","/courses, /course/:id, /ai-coach, /coaching","390","ページに着く","そのまま閲覧できる","z-85の中央モーダル+暗幕が着いた瞬間に出て、背景クリックでは閉じない。副ボタン「あとで」は高さ28px・12px・薄いグレーで44px未達","見に来ただけなのに毎回答えさせられる","閲覧の入口すべてで1手増え、スマホでは断りにくい","中","副ボタンを44px以上・--dc-text-muted にする。打診はレッスン本文を開いたときに絞る","","StudySessionPrompt.tsx:53,109-127 / StudySessionHost.tsx:163-174 / utils/studyCategory.ts"
"CL-B42","B","Claude","STATE-010","受講生","記録中であることを確認する","全画面","全幅","右上のピルを見る／動かす","邪魔にならない場所に置ける","既定が右上固定で見出しやリンクに重なる。動かした位置を既定に戻す手段が無い。最初の1分は「学習中 0分」。キーボードでは動かせない","記録されているか不安になる","常駐UIが画面の一部を隠し続ける","中","ポップオーバーに「位置を戻す」を足す。1分未満は秒を出すか「記録中」だけにする","","StudySessionIndicator.tsx:25-28,158,264,294-297"
"CL-B43","B","Claude","CONSISTENCY-005","受講生","学習を終えて記録する","全画面","全幅","終了カードで Esc を押す","閉じる","Esc は効かないが背景クリックは閉じる（記録されない）。案内は最下部の12px1行","閉じ方を探す","作法が他のポップと食い違う","中","共通 Modal に寄せる","","FinishSessionModal.tsx:142-164,383-392"
"CL-B44","B","Claude","STATE-010","受講生","実際の学習時間に合わせて修正する","全画面","全幅","大きい数字を入れる／「修正」を探す","上限が事前に分かる／押せると分かる","上限を超えると黙って丸められ、上限の説明は編集中しか出ない。「修正」はチップでラベルに見える","なぜ数字が変わったのか分からない","修正機能に気づかない・不信感が出る","低","「修正」に鉛筆アイコンを付け、上限を編集前から出し、丸めた理由を1行出す","","FinishSessionModal.tsx:116,240-244,272-280,352-356"
"CL-B45","B","Claude","SCREEN-007","受講生","3週前の学習時間を見る","/study-log","全幅","「1週間」タブで前の週へ遡る","表示中の週の数字だけが並ぶ","KPIに「この週の学習時間」と「今週の学習時間」が同時に並び、後者は常に今週","似た名前の数字がどちらの期間か分からない","数字を取り違える","中","週を遡っているあいだは「今週の学習時間」を隠す（または「今週（参考）」と明記）","","StudyRecordPanel.tsx:24-28,329-332"
"CL-B46","B","Claude","DEVICE-003","受講生","スマホで前の週を見る","/study-log","390","前週ボタンをタップする","押せる","24×24px でタップ最小44pxの半分強。中身は ‹ › のテキスト","何度もタップし直す","スマホで週を遡れない","中","36px（SPは44px）にして lucide の ChevronLeft/Right を使う","","StudyRecordPanel.tsx:338-382"
"CL-B47","B","Claude","SCREEN-007","受講生","先週と比べて増えたか知る","/study-log","全幅","増減ピルを読む","増減が正しく出る","delta>=0 で緑+↑なので0分差でも増加の緑。前期間のデータが無いときは期間合計が増加分として出る","増えていないのに増えたことになっている","比較の数字が信用できない","中","0は中立色で「±0分」、前期間のデータが無いときは「—」","","StudyRecordPanel.tsx:264,395-413"
